Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2018-10-10,-5.638275,-5.038280010223389,-2.575424909591675,22.314287
2018-10-11,-6.163098,-12.327795028686523,-3.168288230895996,24.061428
2018-10-12,-9.428419,-11.46111011505127,-8.967229843139648,25.808573
2018-10-13,-2.9966822,-5.206898212432861,-9.531984329223633,27.555716
2018-10-14,1.9650134,0.3385436534881592,5.004678249359131,29.302858
2018-10-15,6.41755,9.966768264770508,7.625842094421387,31.05
2018-10-16,14.889094,14.171967506408691,15.868023872375488,27.810001
2018-10-17,21.309254,18.83160972595215,20.89126205444336,27.990667
2018-10-18,22.903696,19.745820999145508,21.745044708251953,28.171333
2018-10-19,18.58383,20.763629913330078,15.95643138885498,28.352
2018-10-20,14.406617,20.00189781188965,15.05101203918457,28.532667
2018-10-21,18.954958,17.408710479736328,17.383527755737305,28.713333
2018-10-22,17.913568,14.295132637023926,17.383527755737305,28.894001
2018-10-23,16.205587,14.00943660736084,14.854992866516113,29.074667
2018-10-24,12.051503,13.537297248840332,13.698445320129395,29.255333
2018-10-25,17.111528,17.14954948425293,14.05951976776123,29.435999
2018-10-26,15.802484,18.39918327331543,14.119757652282715,29.616669
2018-10-27,10.91545,16.215145111083984,11.576329231262207,29.797335
2018-10-28,7.3238077,11.883936882019043,10.97851276397705,29.978
2018-10-29,10.799951,7.288644790649414,11.596948623657227,30.158667
2018-10-30,6.2898145,-0.8534795641899109,5.259495258331299,30.339333
2018-10-31,-7.532645,-4.959542751312256,-11.460060119628906,30.520002
2018-11-01,-9.958081,-8.339203834533691,-9.878721237182617,25.510002
2018-11-02,-1.8580384,-10.337590217590332,0.134640634059906,26.12375
2018-11-03,-1.2411177,-10.539003372192383,1.43729567527771,26.737501
2018-11-04,-9.7987,-6.948530197143555,-11.932415008544922,27.35125
2018-11-05,-10.037913,-6.192139625549316,-12.983335494995117,27.965
2018-11-06,-9.031441,-2.706655502319336,-6.034449100494385,28.57875
2018-11-07,-7.596342,-4.500113487243652,-4.3947954177856445,29.192503
2018-11-08,-10.133285,-7.353665351867676,-5.217162609100342,29.80625
2018-11-09,-4.131399,-8.860685348510742,-1.504094123840332,30.42
2018-11-10,-1.0159788,-5.04289436340332,1.3225226402282715,26.67625
2018-11-11,3.5382426,1.569108486175537,6.307853698730469,22.9325
2018-11-12,8.51336,10.846246719360352,10.434693336486816,19.188751
2018-11-13,16.758835,17.254343032836914,17.845211029052734,15.445001
2018-11-14,24.70802,22.269269943237305,23.479846954345703,11.70125
2018-11-15,26.27332,24.269323348999023,24.123056411743164,7.9575
2018-11-16,25.12308,24.351484298706055,23.301855087280273,4.2137504
2018-11-17,18.300528,23.6610050201416,18.07572364807129,0.47000003
2018-11-18,21.289742,21.484521865844727,18.562389373779297,0.931875
2018-11-19,19.675533,16.781227111816406,18.562389373779297,1.39375
2018-11-20,21.755995,16.72707748413086,18.010774612426758,1.855625
2018-11-21,15.681131,15.186144828796387,15.624876976013184,2.3174999
2018-11-22,19.650736,18.44749641418457,14.261273384094238,2.779375
2018-11-23,16.15301,19.91134262084961,13.921035766601562,3.24125
2018-11-24,6.4165287,15.642281532287598,5.33358097076416,3.703125
2018-11-25,3.670309,8.688493728637695,3.561717987060547,4.165
2018-11-26,7.5462418,0.912825345993042,4.732940673828125,4.626875
2018-11-27,5.2680635,-5.182533264160156,4.41422700881958,5.08875
2018-11-28,-2.4388306,-12.190069198608398,-5.8095269203186035,5.550625
2018-11-29,-14.510219,-11.68289566040039,-18.744586944580078,6.0125
2018-11-30,-6.596604,-16.552181243896484,-18.407089233398438,6.474375
2018-12-01,-9.972411,-20.629741668701172,-18.407089233398438,6.9362497
2018-12-02,-11.0877,-22.591848373413086,-15.499419212341309,7.398125
2018-12-03,-23.715933,-21.226003646850586,-20.314306259155273,7.86
2018-12-04,-10.113388,-20.674049377441406,-20.314306259155273,7.5279164
2018-12-05,-9.1843405,-14.899615287780762,-20.873628616333008,7.195833
2018-12-06,-13.880789,-9.090307235717773,-15.394673347473145,6.86375
2018-12-07,-12.1533985,-6.0125250816345215,-12.489108085632324,6.5316668
2018-12-08,-6.4571447,-5.513269424438477,0.688195526599884,6.199583
2018-12-09,0.84732693,-5.168432712554932,2.8086888790130615,5.8675
2018-12-10,-5.107613,-10.296099662780762,-0.1026793122291565,5.5354166
2018-12-11,-2.2209518,-8.266193389892578,-0.1026793122291565,5.2033334
2018-12-12,-13.708407,-6.908453941345215,-12.034788131713867,4.87125
2018-12-13,-7.632041,-4.253169536590576,-11.87902545928955,4.5391665
2018-12-14,-7.940917,-9.124537467956543,-11.131793022155762,4.207083
2018-12-15,-8.285312,-9.697012901306152,-12.55968189239502,3.875
2018-12-16,-19.885815,-14.691935539245605,-16.33498191833496,3.5429168
2018-12-17,-20.391325,-16.905109405517578,-18.058067321777344,3.2108335
2018-12-18,-22.31139,-23.13723373413086,-21.42098045349121,2.87875
2018-12-19,-23.402813,-24.45020866394043,-21.42098045349121,2.5466666
